epoch,batch,pi_loss,v_loss,total_loss,timestamp
1,1,6.283879280090332,0.21661506593227386,6.500494346022606,2025-04-23 22:49:17.455778
1,2,6.246623516082764,0.26698726415634155,6.513610780239105,2025-04-23 22:49:18.088886
1,3,6.065025329589844,0.2103131115436554,6.275338441133499,2025-04-23 22:49:18.693595
1,4,5.933769226074219,0.2013464719057083,6.135115697979927,2025-04-23 22:49:19.295606
1,5,5.7327446937561035,0.23591181635856628,5.96865651011467,2025-04-23 22:49:19.897831
1,6,5.587808609008789,0.2169194519519806,5.80472806096077,2025-04-23 22:49:20.500385
1,7,5.440866470336914,0.20892128348350525,5.649787753820419,2025-04-23 22:49:21.101903
1,8,5.237278938293457,0.21227417886257172,5.449553117156029,2025-04-23 22:49:21.703156
1,9,4.982625484466553,0.17629492282867432,5.158920407295227,2025-04-23 22:49:22.304118
1,10,4.674129486083984,0.22625459730625153,4.900384083390236,2025-04-23 22:49:22.904878
1,11,4.655394554138184,0.20610494911670685,4.86149950325489,2025-04-23 22:49:23.506045
1,12,4.364832401275635,0.17902816832065582,4.543860569596291,2025-04-23 22:49:24.107083
1,13,4.213608741760254,0.16635829210281372,4.379967033863068,2025-04-23 22:49:24.708801
1,14,3.999311923980713,0.2565152943134308,4.255827218294144,2025-04-23 22:49:25.310282
2,1,4.083377361297607,0.22837631404399872,4.311753675341606,2025-04-23 22:49:27.040517
2,2,3.9005565643310547,0.24035626649856567,4.14091283082962,2025-04-23 22:49:27.641772
2,3,3.8466956615448,0.24409613013267517,4.090791791677475,2025-04-23 22:49:28.242933
2,4,4.057779312133789,0.2281663864850998,4.285945698618889,2025-04-23 22:49:28.844355
2,5,3.8955540657043457,0.2215004861354828,4.1170545518398285,2025-04-23 22:49:29.445499
2,6,3.994753122329712,0.21355010569095612,4.208303228020668,2025-04-23 22:49:30.046473
2,7,3.8084614276885986,0.21200694143772125,4.02046836912632,2025-04-23 22:49:30.648075
2,8,3.849785327911377,0.23178242146968842,4.081567749381065,2025-04-23 22:49:31.250130
2,9,4.0124897956848145,0.22218585014343262,4.234675645828247,2025-04-23 22:49:31.851304
2,10,3.7566866874694824,0.21262477338314056,3.969311460852623,2025-04-23 22:49:32.452213
2,11,4.001062393188477,0.18018022179603577,4.181242614984512,2025-04-23 22:49:33.053725
2,12,3.856005907058716,0.24901850521564484,4.105024412274361,2025-04-23 22:49:33.656055
2,13,3.886244773864746,0.24266208708286285,4.128906860947609,2025-04-23 22:49:34.257672
2,14,4.031844139099121,0.2690110206604004,4.3008551597595215,2025-04-23 22:49:34.859009
3,1,3.975949764251709,0.21487177908420563,4.190821543335915,2025-04-23 22:49:36.656070
3,2,3.960495710372925,0.28020429611206055,4.240700006484985,2025-04-23 22:49:37.257339
3,3,3.9621469974517822,0.25056713819503784,4.21271413564682,2025-04-23 22:49:37.859027
3,4,3.7716944217681885,0.1987600475549698,3.9704544693231583,2025-04-23 22:49:38.460980
3,5,3.7956581115722656,0.18262414634227753,3.978282257914543,2025-04-23 22:49:39.063143
3,6,3.6917386054992676,0.20686662197113037,3.898605227470398,2025-04-23 22:49:39.664468
3,7,3.5259459018707275,0.1798318326473236,3.705777734518051,2025-04-23 22:49:40.266222
3,8,4.0794172286987305,0.18598641455173492,4.265403643250465,2025-04-23 22:49:40.868124
3,9,3.8814549446105957,0.22913376986980438,4.1105887144804,2025-04-23 22:49:41.469880
3,10,3.9839985370635986,0.17240026593208313,4.156398802995682,2025-04-23 22:49:42.071158
3,11,4.0367751121521,0.22996124625205994,4.2667363584041595,2025-04-23 22:49:42.673049
3,12,3.885599136352539,0.1993754506111145,4.084974586963654,2025-04-23 22:49:43.274133
3,13,3.872436046600342,0.23729470372200012,4.109730750322342,2025-04-23 22:49:43.875345
3,14,3.781951665878296,0.2067883461713791,3.988740012049675,2025-04-23 22:49:44.476448
4,1,3.799314260482788,0.2015342116355896,4.000848472118378,2025-04-23 22:49:46.261763
4,2,3.8169643878936768,0.19110824167728424,4.008072629570961,2025-04-23 22:49:46.863749
4,3,3.871990442276001,0.18022693693637848,4.0522173792123795,2025-04-23 22:49:47.464754
4,4,3.7826719284057617,0.16065189242362976,3.9433238208293915,2025-04-23 22:49:48.066013
4,5,3.7676541805267334,0.1663956642150879,3.9340498447418213,2025-04-23 22:49:48.667947
4,6,3.7746613025665283,0.20456862449645996,3.9792299270629883,2025-04-23 22:49:49.270264
4,7,3.64463472366333,0.17710061371326447,3.8217353373765945,2025-04-23 22:49:49.871885
4,8,3.9892196655273438,0.2603858709335327,4.2496055364608765,2025-04-23 22:49:50.473455
4,9,3.7927026748657227,0.21784131228923798,4.010543987154961,2025-04-23 22:49:51.074810
4,10,3.810371160507202,0.2019079327583313,4.0122790932655334,2025-04-23 22:49:51.676096
4,11,3.801640272140503,0.1906137764453888,3.9922540485858917,2025-04-23 22:49:52.277148
4,12,3.7487680912017822,0.2906706631183624,4.039438754320145,2025-04-23 22:49:52.878359
4,13,3.729583501815796,0.19071736931800842,3.9203008711338043,2025-04-23 22:49:53.479646
4,14,3.844974994659424,0.20923568308353424,4.054210677742958,2025-04-23 22:49:54.080818
5,1,3.7899370193481445,0.16930429637432098,3.9592413157224655,2025-04-23 22:49:55.817902
5,2,3.9012815952301025,0.24821323156356812,4.149494826793671,2025-04-23 22:49:56.420035
5,3,3.8274195194244385,0.23766273260116577,4.065082252025604,2025-04-23 22:49:57.021286
5,4,3.9682438373565674,0.18183010816574097,4.150073945522308,2025-04-23 22:49:57.622527
